geometry,rank,feature,mean_gain
19_7,1,message_rate,462.73187764485675
19_7,2,volatility_50,177.79730478922525
19_7,3,trade_count,94.65786361694336
19_7,4,volatility_20,85.42154312133789
19_7,5,time_sin,51.89908981323242
19_7,6,time_cos,51.81451288859049
19_7,7,minutes_since_open,37.63731320699056
19_7,8,spread,34.13621584574381
19_7,9,high_low_range_50,32.41178194681803
19_7,10,modify_fraction,13.299762090047201
10_5,1,volatility_50,184.7346420288086
10_5,2,message_rate,87.64704004923503
10_5,3,volatility_20,64.79377365112305
10_5,4,time_sin,46.26159159342448
10_5,5,time_cos,45.91200637817383
10_5,6,high_low_range_50,40.05907185872396
10_5,7,minutes_since_open,33.36167081197103
10_5,8,trade_count,26.302273750305176
10_5,9,spread,18.65900421142578
10_5,10,weighted_imbalance,11.068417231241861
