account_size,survival_count,survival_rate
500,0,0.0000
1000,0,0.0000
1500,0,0.0000
2000,0,0.0000
2500,0,0.0000
3000,3,0.0667
3500,8,0.1778
4000,9,0.2000
4500,13,0.2889
5000,13,0.2889
5500,15,0.3333
6000,21,0.4667
6500,23,0.5111
7000,26,0.5778
7500,28,0.6222
8000,29,0.6444
8500,33,0.7333
9000,33,0.7333
9500,35,0.7778
10000,37,0.8222
10500,38,0.8444
11000,40,0.8889
11500,42,0.9333
12000,42,0.9333
12500,42,0.9333
13000,44,0.9778
13500,44,0.9778
14000,44,0.9778
14500,44,0.9778
15000,44,0.9778
15500,44,0.9778
16000,44,0.9778
16500,44,0.9778
17000,44,0.9778
17500,44,0.9778
18000,45,1.0000
18500,45,1.0000
19000,45,1.0000
19500,45,1.0000
20000,45,1.0000
20500,45,1.0000
21000,45,1.0000
21500,45,1.0000
22000,45,1.0000
22500,45,1.0000
23000,45,1.0000
23500,45,1.0000
24000,45,1.0000
24500,45,1.0000
25000,45,1.0000
25500,45,1.0000
26000,45,1.0000
26500,45,1.0000
27000,45,1.0000
27500,45,1.0000
28000,45,1.0000
28500,45,1.0000
29000,45,1.0000
29500,45,1.0000
30000,45,1.0000
30500,45,1.0000
31000,45,1.0000
31500,45,1.0000
32000,45,1.0000
32500,45,1.0000
33000,45,1.0000
33500,45,1.0000
34000,45,1.0000
34500,45,1.0000
35000,45,1.0000
35500,45,1.0000
36000,45,1.0000
36500,45,1.0000
37000,45,1.0000
37500,45,1.0000
38000,45,1.0000
38500,45,1.0000
39000,45,1.0000
39500,45,1.0000
40000,45,1.0000
40500,45,1.0000
41000,45,1.0000
41500,45,1.0000
42000,45,1.0000
42500,45,1.0000
43000,45,1.0000
43500,45,1.0000
44000,45,1.0000
44500,45,1.0000
45000,45,1.0000
45500,45,1.0000
46000,45,1.0000
46500,45,1.0000
47000,45,1.0000
47500,45,1.0000
48000,45,1.0000
48500,45,1.0000
49000,45,1.0000
49500,45,1.0000
50000,45,1.0000
