geometry,target,stop,fold,train_days,test_days,accuracy,directional_accuracy,expectancy_base,expectancy_opt,expectancy_pess,n_trades
10_5,10,5,0,1-100,101-150,0.3893,0.5054,-0.5142,0.7358,-3.0242,142482
10_5,10,5,1,1-150,151-201,0.3906,0.5076,-0.4728,0.7772,-2.9828,142922
10_5,10,5,2,1-201,202-251,0.3502,0.5056,-0.5097,0.7403,-3.0197,148678
15_3,15,3,0,1-100,101-150,0.6406,0.0000,0.0000,0.0000,0.0000,0
15_3,15,3,1,1-150,151-201,0.6439,0.7000,8.2600,9.5100,5.7500,100
15_3,15,3,2,1-201,202-251,0.6255,0.0000,-7.4900,-6.2400,-10.0000,2
19_7,19,7,0,1-100,101-150,0.5017,0.6147,7.4871,8.7371,4.9771,218
19_7,19,7,1,1-150,151-201,0.5005,0.6105,7.3497,8.5997,4.8397,1014
19_7,19,7,2,1-201,202-251,0.4641,0.5200,4.4100,5.6600,1.9000,50
20_3,20,3,0,1-100,101-150,0.7190,0.0000,0.0000,0.0000,0.0000,0
20_3,20,3,1,1-150,151-201,0.7229,1.0000,21.2600,22.5100,18.7500,18
20_3,20,3,2,1-201,202-251,0.7076,0.0000,0.0000,0.0000,0.0000,0
