geometry,fold,cost_scenario,inflated_per_dir_trade,conservative_per_trade,realized_per_trade,trade_rate,directional_accuracy,label0_hit_rate,n_trades,n_dir_trades,n_hold_trades,breakeven_rt
19:7,Fold 1,optimistic,5.260050376449466,2.919596845942276,1.2608261353641839,0.849671706263499,0.5076938577369067,0.44494888128561916,196699,109178,87521,3.750826135364186
19:7,Fold 1,base,4.010050376449467,2.2257829475493005,0.010826135364183474,0.849671706263499,0.5076938577369067,0.44494888128561916,196699,109178,87521,3.750826135364186
19:7,Fold 1,pessimistic,1.500050376449468,0.8326046395762052,-2.499173864635814,0.849671706263499,0.5076938577369067,0.44494888128561916,196699,109178,87521,3.750826135364186
19:7,Fold 2,optimistic,5.0616221078968815,2.8434154199260897,3.7884366083743046,0.8044805827298522,0.5015883725506733,0.43824027963487433,189962,106713,83249,6.278436608374307
19:7,Fold 2,base,3.8116221078968806,2.1412157694696825,2.5384366083743046,0.8044805827298522,0.5015883725506733,0.43824027963487433,189962,106713,83249,6.278436608374307
19:7,Fold 2,pessimistic,1.3016221078968824,0.731198871353218,0.02843660837430644,0.8044805827298522,0.5015883725506733,0.43824027963487433,189962,106713,83249,6.278436608374307
19:7,Fold 3 (holdout),optimistic,4.752479489516862,2.6210753062428083,1.4052900967794935,0.901280934123388,0.4920762919851343,0.4484825632547302,206862,114088,92774,3.8952900967794957
19:7,Fold 3 (holdout),base,3.5024794895168623,1.9316785103112208,0.1552900967794935,0.901280934123388,0.4920762919851343,0.4484825632547302,206862,114088,92774,3.8952900967794957
19:7,Fold 3 (holdout),pessimistic,0.9924794895168642,0.5473697440805948,-2.3547099032205043,0.901280934123388,0.4920762919851343,0.4484825632547302,206862,114088,92774,3.8952900967794957
10:5,Fold 1,optimistic,0.8220541188745328,0.5676458809934828,-0.33139579327541685,0.9233390928725702,0.5099762196733084,0.3094786973750076,213753,147601,66152,2.158604206724584
10:5,Fold 1,base,-0.42794588112546716,-0.29550574728775775,-1.581395793275417,0.9233390928725702,0.5099762196733084,0.3094786973750076,213753,147601,66152,2.158604206724584
10:5,Fold 1,pessimistic,-2.937945881125467,-2.0287142168764882,-4.091395793275416,0.9233390928725702,0.5099762196733084,0.3094786973750076,213753,147601,66152,2.158604206724584
10:5,Fold 2,optimistic,0.6133662094066828,0.4241280430221574,-0.48267243986062575,0.9103417608944225,0.4988461978350231,0.30852395107904296,214959,148639,66320,2.0073275601393754
10:5,Fold 2,base,-0.636633790593317,-0.44021701812903885,-1.732672439860626,0.9103417608944225,0.4988461978350231,0.30852395107904296,214959,148639,66320,2.0073275601393754
10:5,Fold 2,pessimistic,-3.1466337905933166,-2.1758219009206408,-4.242672439860624,0.9103417608944225,0.4988461978350231,0.30852395107904296,214959,148639,66320,2.0073275601393754
10:5,Fold 3 (holdout),optimistic,0.7743369646635211,0.525763844585521,-0.3750786753454188,0.9765989891948414,0.5074313047820544,0.3210141468398253,224149,152194,71955,2.1149213246545826
10:5,Fold 3 (holdout),base,-0.4756630353364789,-0.32296847186469746,-1.625078675345419,0.9765989891948414,0.5074313047820544,0.3210141468398253,224149,152194,71955,2.1149213246545826
10:5,Fold 3 (holdout),pessimistic,-2.9856630353364784,-2.027222963296736,-4.135078675345418,0.9765989891948414,0.5074313047820544,0.3210141468398253,224149,152194,71955,2.1149213246545826
