geometry,threshold,trade_rate_mean,hold_fraction_mean,realized_exp_mean,realized_exp_std,realized_exp_cv_pct,dir_bar_exp_mean,hold_bar_exp_mean,breakeven_rt_mean,n_trades_mean,daily_pnl_mean,realized_fold1,realized_fold2,realized_fold3
19:7,0.5,0.8518110743722463,0.44389057472507454,0.901517613505994,1.1589780860331114,128.5585626581222,3.774717324621069,-2.677496487511954,4.641517613505996,197841.0,3380.030504575155,0.010826135364183474,2.5384366083743046,0.1552900967794935
19:7,0.55,0.6451647298228649,0.4377815635448099,0.8283398523778597,1.106159797464237,133.5393672402527,3.865869502955498,-3.0604083497704253,4.5683398523778616,149902.33333333334,2290.7413379084906,-0.260504602235374,2.3454889486115613,0.4000352107573919
19:7,0.6,0.04512542837222563,0.4197295623523465,-4.294870368511543,4.37636795276647,101.89755632329297,4.4880881992685655,-16.886682670618523,-0.5548703685115396,10542.666666666666,-519.4088581699352,-10.480352811466377,-1.018417694138008,-1.385840599930243
19:7,0.65,0.004250819007737126,0.5380620127362804,-9.108130492987177,8.808969399028795,96.71545006751143,6.070387789064045,-25.887984885319,-5.368130492987173,993.6666666666666,-285.662634640523,3.325746753246751,-15.992852972399156,-14.657285259809123
19:7,0.7,0.0013368755632307296,0.47148973277857403,1.3040885202862835,13.60836902114264,1043.5157437131052,5.082463768115941,-14.349524885875107,5.0440885202862855,311.6666666666667,-51.78728039215688,20.009999999999998,-11.966547388781434,-4.1311870503597135
19:7,0.75,0.0006929083382717773,0.4100719424460431,-0.2915947242206241,2.7044395160334065,927.4651738853803,2.3164174454828657,-4.84359375,2.20173860911271,160.33333333333334,-5.92416078431373,0.0,2.8652158273381287,-3.740000000000001
19:7,0.8,5.646607094961815e-05,0.016666666666666666,0.2012499999999995,0.2846104794275847,141.4213562373095,0.6831578947368419,-8.955,1.4479166666666667,13.333333333333334,0.1578431372549016,0.0,0.6037499999999986,0.0
19:7,0.85,1.4116517737404537e-05,0.0,-3.0799999999999996,4.355777772109131,141.42135623730948,-3.0799999999999996,0.0,-1.8333333333333333,3.3333333333333335,-0.6039215686274509,0.0,-9.239999999999998,0.0
19:7,0.9,4.234955321221361e-06,0.0,-4.163333333333333,5.887842464679986,141.4213562373095,-4.163333333333333,0.0,-2.9166666666666665,1.0,-0.24490196078431373,0.0,-12.49,0.0
10:5,0.5,0.9367599476539447,0.313005598431292,-1.6463823028271538,0.06356906668302831,3.8611364185504202,-0.5134142356850878,-4.133472128778555,2.0936176971728475,217620.33333333334,-7116.255863398698,-1.581395793275417,-1.732672439860626,-1.625078675345419
10:5,0.55,0.9271088996176392,0.31102434083758934,-1.6603533420929903,0.0722797393114507,4.353274539763752,-0.5246286427179255,-4.177299532649723,2.079646657907011,215366.33333333334,-7100.867868627455,-1.5915043475787267,-1.7602102704388267,-1.6293454082614174
10:5,0.6,0.9167462439151915,0.3093396281082645,-1.6835511719731346,0.07590204701315711,4.508449061527446,-0.5379771431924469,-4.2437850871266845,2.0564488280268662,212951.33333333334,-7118.198503267978,-1.6184000491573378,-1.7900062265307697,-1.6422472402312962
10:5,0.65,0.8970861832695687,0.3083163310226677,-1.7316716061345592,0.06577284269610331,3.7982283975263402,-0.5513540319377096,-4.38290355536805,2.008328393865442,208367.66666666666,-7164.186754901966,-1.6727509617371294,-1.823464652502311,-1.698799204164237
10:5,0.7,0.43146262135537067,0.3022907180902909,-1.9816668797190449,0.07923155409781905,3.9982276995542394,-0.5262932740930045,-5.3585964106852515,1.7583331202809565,100389.66666666667,-3947.8272320261462,-2.0822064929453106,-1.888556690563641,-1.9742374556481825
10:5,0.75,0.016076551053862506,0.33351074697892386,-6.6501054675514135,5.359822691467596,80.59755920594591,-0.7648384640170244,-17.9601757340584,-2.91010546755141,3730.3333333333335,-557.7621679738564,0.3187986463620956,-12.716674972314513,-7.552440076701825
10:5,0.8,0.0033592724445165377,0.3803423960161265,-9.623906367512928,13.619529016564911,141.51767999883978,-1.0869811036147228,-11.597599763477016,-5.883906367512925,778.3333333333334,-211.17936078431376,9.246111111111109,-22.40244411326379,-15.715386100386104
10:5,0.85,0.00019854815772776436,0.463768115942029,-21.207101449275356,27.38938209572828,129.15193602124336,0.24142857142857135,-52.63222222222222,-18.713768115942027,46.0,-20.29739607843137,0.0,-59.88130434782607,-3.7400000000000015
10:5,0.9,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
