split_idx,test_groups,max_drawdown,max_consecutive_losses,drawdown_duration_days,n_trades,expectancy,trades_per_day_mean,win_rate,timeout_fraction
0,"(0, 1)",17667.91,20,10,6314,4.2717,154.00,0.5062,0.4086
1,"(0, 2)",10675.37,17,18,5672,2.7008,138.34,0.5051,0.4115
2,"(0, 3)",15560.17,17,13,5173,3.9769,126.17,0.4989,0.4094
3,"(0, 4)",25464.86,16,24,7395,-1.1011,180.37,0.4972,0.3958
4,"(0, 5)",6674.55,15,10,5638,2.3713,137.51,0.5071,0.4124
5,"(0, 6)",13114.17,17,5,4977,4.2539,121.39,0.5164,0.4113
6,"(0, 7)",8600.14,18,23,4518,1.5104,110.20,0.5018,0.4132
7,"(0, 8)",7938.60,15,27,5257,-0.0317,128.22,0.5146,0.4092
8,"(0, 9)",9283.06,21,24,5555,1.3395,135.49,0.5062,0.4128
9,"(1, 2)",15268.52,20,10,5243,2.9874,131.07,0.4936,0.4133
10,"(1, 3)",17901.64,20,13,4733,2.3673,118.33,0.4914,0.4128
11,"(1, 4)",18597.57,20,14,6957,4.7163,173.93,0.4887,0.3969
12,"(1, 5)",13457.89,20,10,5200,4.3956,130.00,0.5044,0.4152
13,"(1, 6)",17756.64,20,10,4533,4.2036,113.33,0.5103,0.4145
14,"(1, 7)",17459.14,20,10,4082,3.2884,102.05,0.5034,0.4157
15,"(1, 8)",8683.53,22,11,4822,1.4818,120.55,0.5004,0.4119
16,"(1, 9)",14035.39,20,10,5120,3.0308,128.00,0.4984,0.4158
17,"(2, 3)",9663.77,20,12,4085,1.5915,102.12,0.4879,0.4159
18,"(2, 4)",33983.58,28,32,6312,-1.0821,157.80,0.5013,0.3983
19,"(2, 5)",5434.68,14,8,4558,3.2129,113.95,0.4971,0.4190
20,"(2, 6)",3349.81,13,15,3903,3.2066,97.58,0.4930,0.4181
21,"(2, 7)",16008.67,28,32,3441,-0.1431,86.03,0.4897,0.4211
22,"(2, 8)",4760.52,13,4,4178,4.2221,104.45,0.5223,0.4165
23,"(2, 9)",6206.86,12,6,4476,4.7436,111.90,0.5013,0.4193
24,"(3, 4)",17456.32,19,16,5811,4.5103,145.28,0.4806,0.3960
25,"(3, 5)",8686.84,15,16,4056,4.0502,101.40,0.4988,0.4191
26,"(3, 6)",10576.90,18,16,3390,3.7742,84.75,0.5086,0.4183
27,"(3, 7)",3214.62,17,10,2939,4.5885,73.47,0.5036,0.4223
28,"(3, 8)",6683.76,15,9,3678,3.3466,91.95,0.5114,0.4157
29,"(3, 9)",4067.36,16,9,3974,4.5854,99.35,0.5043,0.4200
30,"(4, 5)",8460.74,16,9,6279,3.3355,156.97,0.4980,0.3991
31,"(4, 6)",9073.82,15,10,5615,5.5323,140.38,0.5022,0.3972
32,"(4, 7)",32662.36,28,39,5161,-4.7694,129.03,0.4865,0.3960
33,"(4, 8)",8345.50,18,10,5909,2.0339,147.72,0.4996,0.3955
34,"(4, 9)",14658.09,20,29,6194,1.0399,154.85,0.4960,0.3996
35,"(5, 6)",2603.46,15,10,3860,4.2080,96.50,0.5021,0.4212
36,"(5, 7)",4164.63,16,8,3405,5.3198,85.12,0.5022,0.4235
37,"(5, 8)",5646.04,16,7,4149,3.8356,103.72,0.5090,0.4184
38,"(5, 9)",3660.51,16,4,4441,6.5365,111.03,0.5132,0.4220
39,"(6, 7)",4317.54,16,9,2745,2.8593,68.62,0.5002,0.4244
40,"(6, 8)",8683.54,15,4,3478,4.3753,86.95,0.5244,0.4195
41,"(6, 9)",3097.88,14,4,3776,5.2181,94.40,0.5101,0.4229
42,"(7, 8)",8683.53,15,33,3033,0.1429,75.83,0.5018,0.4191
43,"(7, 9)",4210.95,16,8,3322,6.3541,83.05,0.5169,0.4269
44,"(8, 9)",9350.16,16,7,4065,3.3340,101.62,0.5149,0.4189
