config_idx,is_default,mean_acc,std_acc,mean_train_acc,mean_n_estimators
0,True,0.4499727914449771,0.013063493287637314,0.4853626443412087,500.0
1,False,0.4485184902280988,0.012563599690166813,0.4977571582971855,24.2
2,False,0.4500272085550229,0.01309002049876027,0.45650155647022056,34.6
3,False,0.4507631038297424,0.012606052029114427,0.4733524013277167,372.0
4,False,0.45013872938945376,0.013422785124940224,0.4539018522995457,243.6
5,False,0.45064989727651056,0.012812953839179473,0.47587566395025743,447.0
6,False,0.4488826581678344,0.012655043457813408,0.5123805482110255,726.0
7,False,0.45065811515566556,0.013088257448958949,0.4601452275642681,404.8
8,False,0.45053458357477744,0.012878404685873528,0.4607498887321505,540.0
9,False,0.4476406785018174,0.01290833542878241,0.5002898534693992,25.6
10,False,0.4499816678080387,0.012875606297982518,0.475686659807001,395.0
11,False,0.45025686140230736,0.012907280294476247,0.4551400341928119,31.8
12,False,0.449654691039351,0.012665399728999889,0.5037571553604285,147.6
13,False,0.44988911131011955,0.013376639531670188,0.4575025013015611,58.4
14,False,0.4506399146604857,0.012934458951703583,0.4608926574186974,321.4
15,False,0.45017905494389715,0.01367595107418711,0.4548702548947673,701.0
16,False,0.4504605436443133,0.013028571602131032,0.45669741170986333,150.0
17,False,0.45051883263973025,0.012936778981598188,0.46121584993247194,124.4
18,False,0.4498819206658589,0.012798342404858562,0.4593663338981739,19.6
19,False,0.449803245008692,0.012868359318920726,0.46429581817366383,26.6
20,False,0.4483034293841858,0.012643231678747481,0.48128489391705925,17.4
21,False,0.45011086235052417,0.01327211817878484,0.45403601111236824,659.8
22,False,0.4505531001422326,0.013024060095113222,0.4601936670328925,382.6
23,False,0.4500658483906654,0.013148026480065687,0.4537282043710566,712.0
24,False,0.45016140757519885,0.013244784681583653,0.45353308159937294,681.6
25,False,0.4502843860296054,0.01310346158572009,0.4571616544623331,77.4
26,False,0.4504504556708634,0.013180938387081405,0.45738250724760354,298.4
27,False,0.4499832481694147,0.012882872839502912,0.4570027243138446,44.4
28,False,0.4503410419849339,0.012662817597871022,0.46081953796504554,68.0
29,False,0.4499155033450982,0.013513817282405659,0.45517205769840585,204.0
30,False,0.4487883369330453,0.012709953081083889,0.4857943925248698,21.0
31,False,0.4502742717167993,0.013305161045437481,0.45406506613184217,866.2
32,False,0.45049317810672707,0.012999571667145323,0.45728630227233785,77.4
33,False,0.4502491966496339,0.013571813518705338,0.45405875768849613,1179.4
34,False,0.4500405626086499,0.013380038810605692,0.45329101533858535,1524.6
35,False,0.45004501395985885,0.013494940502250332,0.45325915162496583,1404.4
36,False,0.4498955117736923,0.013350612296407645,0.45382801158638014,590.6
37,False,0.45040765421693096,0.012836884437025324,0.4729296102469365,198.2
38,False,0.44980090080598434,0.012826195778961089,0.4953098627571255,108.0
39,False,0.45044002528578203,0.013056487768341002,0.4563135950058078,76.2
40,False,0.4503442290470421,0.012869402059144696,0.4658558473428058,168.6
41,False,0.4500151978085656,0.01296718991068359,0.4971825128551231,277.0
42,False,0.450524943370384,0.012857845903653103,0.4718490865580594,645.4
43,False,0.45028056682294687,0.013397345235883585,0.45389539128584006,1231.2
44,False,0.45016196070168035,0.013674321796519878,0.45564718922347447,303.6
45,False,0.44966277722172465,0.013083582302396288,0.4731583548416161,34.4
46,False,0.4500249697097403,0.012660892167680973,0.5027148040826509,671.4
47,False,0.4500478586103355,0.0134002204977742,0.4533036228519961,1339.6
48,False,0.4506014065216246,0.012969118649819986,0.4604184530497203,443.8
