config_idx,mean_acc,std_acc,mean_train_acc,mean_n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
49,0.45054427645788336,0.012567741794981305,0.4730866543182538,314.8,8,0.014104109161689922,10,0.5917022549267169,0.6521211214797689,0.12561043700013563,0.7309539835912913
50,0.45070015276826636,0.012713939938679274,0.4727950022040416,385.6,8,0.011927270244911253,20,0.5917022549267169,0.6521211214797689,0.12561043700013563,0.7309539835912913
51,0.4506658589264078,0.012747637024818683,0.4736152155898979,378.4,8,0.011927270244911253,10,0.5917022549267169,0.7626540129467703,0.12561043700013563,0.7309539835912913
52,0.4505319232997945,0.012953589077745428,0.46041895716762377,423.8,6,0.0134137354910996,10,0.6546319576500766,0.7475884550556351,0.0013726318898045872,6.586289317583112
53,0.4506829531686246,0.013119793960314758,0.46017123683258515,405.8,6,0.0134137354910996,10,0.5610191174223894,0.7475884550556351,0.0013959884164950964,6.586289317583112
54,0.45090267607859663,0.012992104342250746,0.4599847225700643,404.2,6,0.0134137354910996,20,0.5610191174223894,0.7475884550556351,0.0013726318898045872,6.586289317583112
55,0.4504847495127219,0.012811034821047923,0.4754839588511525,418.2,8,0.011894902169265548,10,0.7962072844310213,0.5232252063599989,0.26926469100861794,0.21930485556643695
56,0.45059650740135915,0.012815009815254208,0.4759054677003462,446.4,8,0.011324530081857673,10,0.7962072844310213,0.5232252063599989,0.22536624192082727,0.21930485556643695
57,0.4505859189801401,0.012675716914343039,0.4765106283828116,439.4,8,0.011324530081857673,5,0.7962072844310213,0.5232252063599989,0.26926469100861794,0.21930485556643695
58,0.45052799873571087,0.01305331058948079,0.46056115674868614,305.4,6,0.0193801324564921,50,0.7331798656355734,0.864803089169032,0.3550012525851162,5.948746813219774
59,0.45075175156719177,0.012785551004047307,0.4598305335974325,275.0,6,0.0193801324564921,50,0.6625916610133735,0.864803089169032,0.34798686542356844,5.948746813219774
60,0.4506521624611494,0.012821188486942699,0.4603054451268636,281.8,6,0.0193801324564921,20,0.6625916610133735,0.864803089169032,0.3550012525851162,5.948746813219774
61,0.45034941790022653,0.013079341167463763,0.45712145239622715,500.6,5,0.012098525223015104,20,0.7286325808068643,0.9210115375059906,0.005991287164542262,0.6648257162269167
62,0.4506000895538113,0.012942947822853084,0.4601072080427853,440.2,6,0.012098525223015104,50,0.7286325808068643,0.9210115375059906,0.005991287164542262,0.6648257162269167
63,0.4506742085023442,0.01294640053819713,0.46056303071627064,449.4,6,0.012098525223015104,20,0.7286325808068643,0.9210115375059906,0.005991287164542262,0.6408496520387019
